Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL10B104KB8NNNC","C0603",131.353749,-115.700000,90.000000,top
"C2","CL10B104KB8NNNC","C0603",141.653749,-119.620000,0.000000,top
"C3","CL31B106KBHNNNE","C1206",159.460000,-140.090000,-90.000000,top
"C4","CL31B106KBHNNNE","C1206",164.540000,-140.090000,-90.000000,top
"D1","SMBJ33CA-C78420","SMB_L4.3-W3.6-LS5.4-BI",152.000000,-144.090000,-90.000000,top
"D2","SMAJ5.0CA_C10756","SMA_L4.4-W2.6-LS5.0-BI",133.000000,-130.500000,-90.000000,top
"D3","NUP2105LT1G","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2",120.353749,-120.500000,0.000000,top
"F1","5x20 BLX-Atype Fuse holder XC-7","FUSE-TH_L22.6-W9.0",134.000000,-140.500000,0.000000,top
"J1","DB128V-5.08-5P-GN-S","CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S",113.000000,-124.080000,-90.000000,top
"J2","2685Y-116CNG1SNA01","HDR-TH_16P-P2.54-V-F-1",148.930000,-106.500000,180.000000,top
"J3","2685Y-116CNG1SNA01","HDR-TH_16P-P2.54-V-F-1",148.930000,-86.500000,180.000000,top
"L1","ACT45B-101-2P-TL003","FILTER-SMD_4P-L4.5-W3.2-TL_ACT45B",127.223749,-120.250000,0.000000,top
"R1","HOAR0603-1/10W-100KR-1%-TCR25","R0603",122.750000,-128.500000,0.000000,top
"R2","RC0603FR-0710KL","R0603",126.500000,-129.250000,-90.000000,top
"U2","TJA1051T/3/1J","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",135.753749,-120.250000,90.000000,top
"U3","TSR 1-2450E","PWRM-TH_3P-L11.6-W7.5-P2.54_TSR1-2433E",162.000000,-134.762500,0.000000,top
