"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C3";"C1206";2;"CL31B106KBHNNNE";;;
2;"J2,J3";"HDR-TH_16P-P2.54-V-F-1";2;"2685Y-116CNG1SNA01";;;
3;"U2";"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"TJA1051T/3/1J";;;
4;"L1";"FILTER-SMD_4P-L4.5-W3.2-TL_ACT45B";1;"ACT45B-101-2P-TL003";;;
5;"J1";"CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S";1;"DB128V-5.08-5P-GN-S";;;
6;"D1";"SMB_L4.3-W3.6-LS5.4-BI";1;"SMBJ33CA-C78420";;;
7;"U3";"PWRM-TH_3P-L11.6-W7.5-P2.54_TSR1-2433E";1;"TSR 1-2450E";;;
8;"C2,C1";"C0603";2;"CL10B104KB8NNNC";;;
9;"D2";"SMA_L4.4-W2.6-LS5.0-BI";1;"SMAJ5.0CA_C10756";;;
10;"R2";"R0603";1;"RC0603FR-0710KL";;;
11;"R1";"R0603";1;"HOAR0603-1/10W-100KR-1%-TCR25";;;
12;"F1";"FUSE-TH_L22.6-W9.0";1;"5x20 BLX-Atype Fuse holder XC-7";;;
13;"D3";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2";1;"NUP2105LT1G";;;
