Comment,Designator,Footprint,LCSC,Quantity
2685Y-116CNG1SNA01,"J2,J3",HDR-TH_16P-P2.54-V-F-1,C350305,2
5x20 BLX-Atype Fuse holder XC-7,F1,FUSE-TH_L22.6-W9.0,C3131,1
ACT45B-101-2P-TL003,L1,FILTER-SMD_4P-L4.5-W3.2-TL_ACT45B,C88056,1
CL10B104KB8NNNC,"C1,C2",C0603,C1591,2
CL31B106KBHNNNE,"C3,C4",C1206,C89632,2
DB128V-5.08-5P-GN-S,J1,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,C2927513,1
HOAR0603-1/10W-100KR-1%-TCR25,R1,R0603,C2912579,1
NUP2105LT1G,D3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2,C14486,1
RC0603FR-0710KL,R2,R0603,C98220,1
SMAJ5.0CA_C10756,D2,SMA_L4.4-W2.6-LS5.0-BI,C10756,1
SMBJ33CA-C78420,D1,SMB_L4.3-W3.6-LS5.4-BI,C78420,1
TJA1051T/3/1J,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C38695,1
TSR 1-2450E,U3,PWRM-TH_3P-L11.6-W7.5-P2.54_TSR1-2433E,C5346721,1
