Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL10B104KB8NNNC,C0603,26.853749,34.8,90.0,top
C2,CL10B104KB8NNNC,C0603,37.153749,30.88,0.0,top
C3,CL31B106KBHNNNE,C1206,54.96,10.41,-90.0,top
C4,CL31B106KBHNNNE,C1206,60.04,10.41,-90.0,top
D1,SMBJ33CA-C78420,SMB_L4.3-W3.6-LS5.4-BI,47.5,6.41,-90.0,top
D2,SMAJ5.0CA_C10756,SMA_L4.4-W2.6-LS5.0-BI,28.5,20.0,-90.0,top
D3,NUP2105LT1G,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2,15.853749,30.0,270.0,top
F1,5x20 BLX-Atype Fuse holder XC-7,FUSE-TH_L22.6-W9.0,29.75,10.0,0.0,top
J1,DB128V-5.08-5P-GN-S,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,8.5,26.42,-90.0,top
J2,2685Y-116CNG1SNA01,HDR-TH_16P-P2.54-V-F-1,44.43,44.0,180.0,top
J3,2685Y-116CNG1SNA01,HDR-TH_16P-P2.54-V-F-1,44.43,64.0,180.0,top
L1,ACT45B-101-2P-TL003,FILTER-SMD_4P-L4.5-W3.2-TL_ACT45B,22.718749,30.25,0.0,top
R1,HOAR0603-1/10W-100KR-1%-TCR25,R0603,18.25,22.0,0.0,top
R2,RC0603FR-0710KL,R0603,22.0,21.25,-90.0,top
U2,TJA1051T/3/1J,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,31.253749,30.25,0.0,top
U3,TSR 1-2450E,PWRM-TH_3P-L11.6-W7.5-P2.54_TSR1-2433E,57.5,15.7375,0.0,top
